id,EDUCATION,SOUTH,SEX,EXPERIENCE,UNION,WAGE,AGE,RACE,OCCUPATION,SECTOR,MARR
1,8,no,female,21,not_member,5.1,35,Hispanic,Other,Manufacturing,Married
2,9,no,female,42,not_member,4.95,57,White,Other,Manufacturing,Married
3,12,no,male,1,not_member,6.67,19,White,Other,Manufacturing,Unmarried
4,12,no,male,4,not_member,4,22,White,Other,Other,Unmarried
5,12,no,male,17,not_member,7.5,35,White,Other,Other,Married
6,13,no,male,9,member,13.07,28,White,Other,Other,Unmarried
7,10,yes,male,27,not_member,4.45,43,White,Other,Other,Unmarried
8,12,no,male,9,not_member,19.47,27,White,Other,Other,Unmarried
9,16,no,male,11,not_member,13.28,33,White,Other,Manufacturing,Married
10,12,no,male,9,not_member,8.75,27,White,Other,Other,Unmarried
11,12,no,male,17,member,11.35,35,White,Other,Other,Married
12,12,no,male,19,member,11.5,37,White,Other,Manufacturing,Unmarried
13,8,yes,male,27,not_member,6.5,41,White,Other,Other,Married
14,9,yes,male,30,member,6.25,45,White,Other,Other,Unmarried
15,9,yes,male,29,not_member,19.98,44,White,Other,Other,Married
16,12,no,male,37,not_member,7.3,55,White,Other,Construction,Married
17,7,yes,male,44,not_member,8,57,White,Other,Other,Married
18,12,no,male,26,member,22.2,44,White,Other,Manufacturing,Married
19,11,no,male,16,not_member,3.65,33,White,Other,Other,Unmarried
20,12,no,male,33,not_member,20.55,51,White,Other,Other,Married
21,12,no,female,16,member,5.71,34,White,Other,Manufacturing,Married
22,7,no,male,42,member,7,55,Other,Other,Manufacturing,Married
23,12,no,male,9,not_member,3.75,27,White,Other,Other,Unmarried
24,11,yes,male,14,not_member,4.5,31,Other,Other,Other,Married
25,12,no,male,23,not_member,9.56,41,White,Other,Other,Married
26,6,yes,male,45,not_member,5.75,57,White,Other,Manufacturing,Married
27,12,no,male,8,not_member,9.36,26,White,Other,Manufacturing,Married
28,10,no,male,30,not_member,6.5,46,White,Other,Other,Married
29,12,no,female,8,not_member,3.35,26,White,Other,Manufacturing,Married
30,12,no,male,8,not_member,4.75,26,White,Other,Other,Married
31,14,no,male,13,not_member,8.9,33,White,Other,Other,Unmarried
32,12,yes,female,46,not_member,4,64,White,Other,Other,Unmarried
33,8,no,male,19,not_member,4.7,33,White,Other,Other,Married
34,17,yes,female,1,not_member,5,24,White,Other,Other,Unmarried
35,12,no,male,19,not_member,9.25,37,White,Other,Manufacturing,Unmarried
36,12,no,male,36,not_member,10.67,54,Other,Other,Other,Unmarried
37,12,yes,male,20,not_member,7.61,38,Other,Other,Construction,Married
38,12,no,male,35,member,10,53,Other,Other,Construction,Married
39,12,no,male,3,not_member,7.5,21,White,Other,Other,Unmarried
40,14,yes,male,10,not_member,12.2,30,White,Other,Manufacturing,Married
41,12,no,male,0,not_member,3.35,18,White,Other,Other,Unmarried
42,14,yes,male,14,member,11,34,White,Other,Manufacturing,Married
43,12,no,male,14,not_member,12,32,White,Other,Manufacturing,Married
44,9,no,female,16,not_member,4.85,31,White,Other,Manufacturing,Married
45,13,yes,male,8,not_member,4.3,27,White,Other,Construction,Unmarried
46,7,yes,female,15,not_member,6,28,White,Other,Manufacturing,Married
47,16,no,male,12,not_member,15,34,White,Other,Manufacturing,Married
48,10,yes,male,13,not_member,4.85,29,White,Other,Other,Unmarried
49,8,no,male,33,member,9,47,White,Other,Other,Married
50,12,no,male,9,not_member,6.36,27,White,Other,Manufacturing,Married
51,12,no,male,7,not_member,9.15,25,White,Other,Other,Married
52,16,no,male,13,member,11,35,White,Other,Manufacturing,Married
53,12,no,female,7,not_member,4.5,25,White,Other,Manufacturing,Married
54,12,no,female,16,not_member,4.8,34,White,Other,Manufacturing,Married
55,13,no,male,0,not_member,4,19,White,Other,Other,Unmarried
56,12,no,female,11,not_member,5.5,29,White,Other,Manufacturing,Unmarried
57,13,no,male,17,not_member,8.4,36,White,Other,Manufacturing,Unmarried
58,10,no,male,13,not_member,6.75,29,White,Other,Manufacturing,Married
59,12,no,male,22,member,10,40,Other,Other,Manufacturing,Unmarried
60,12,no,female,28,not_member,5,46,White,Other,Manufacturing,Married
61,11,no,male,17,not_member,6.5,34,White,Other,Other,Unmarried
62,12,no,male,24,member,10.75,42,White,Other,Construction,Married
63,3,yes,male,55,not_member,7,64,Hispanic,Other,Manufacturing,Married
64,12,yes,male,3,not_member,11.43,21,White,Other,Construction,Unmarried
65,12,no,male,6,member,4,24,Other,Other,Manufacturing,Unmarried
66,10,no,male,27,not_member,9,43,White,Other,Construction,Married
67,12,yes,male,19,member,13,37,Other,Other,Manufacturing,Married
68,12,no,male,19,member,12.22,37,White,Other,Construction,Married
69,12,no,female,38,not_member,6.28,56,White,Other,Manufacturing,Married
70,10,yes,male,41,member,6.75,57,Other,Other,Manufacturing,Married
71,11,yes,male,3,not_member,3.35,20,Other,Other,Manufacturing,Unmarried
72,14,no,male,20,member,16,40,White,Other,Other,Married
73,10,no,male,15,not_member,5.25,31,White,Other,Other,Married
74,8,yes,male,8,not_member,3.5,22,Hispanic,Other,Manufacturing,Married
75,8,yes,female,39,not_member,4.22,53,White,Other,Manufacturing,Married
76,6,no,female,43,member,3,55,Hispanic,Other,Manufacturing,Married
77,11,yes,female,25,member,4,42,White,Other,Manufacturing,Married
78,12,no,male,11,member,10,29,White,Other,Other,Married
79,12,no,male,12,not_member,5,30,Other,Other,Other,Married
80,12,yes,male,35,member,16,53,White,Other,Manufacturing,Married
81,14,no,male,14,not_member,13.98,34,White,Other,Other,Unmarried
82,12,no,male,16,member,13.26,34,White,Other,Other,Married
83,10,no,female,44,member,6.1,60,White,Other,Manufacturing,Unmarried
84,16,yes,female,13,not_member,3.75,35,White,Other,Other,Unmarried
85,13,no,male,8,member,9,27,Other,Other,Manufacturing,Unmarried
86,12,no,male,13,not_member,9.45,31,White,Other,Manufacturing,Unmarried
87,11,no,male,18,member,5.5,35,White,Other,Other,Married
88,12,no,female,18,not_member,8.93,36,White,Other,Other,Married
89,12,yes,female,6,not_member,6.25,24,White,Other,Other,Unmarried
90,11,yes,male,37,member,9.75,54,White,Other,Manufacturing,Married
91,12,yes,male,2,not_member,6.73,20,White,Other,Manufacturing,Married
92,12,no,male,23,not_member,7.78,41,White,Other,Manufacturing,Married
93,12,no,male,1,not_member,2.85,19,White,Other,Other,Unmarried
94,12,yes,female,10,not_member,3.35,28,Other,Other,Manufacturing,Married
95,12,no,male,23,not_member,19.98,41,White,Other,Manufacturing,Married
96,12,no,male,8,member,8.5,26,Other,Other,Other,Married
97,15,no,female,9,not_member,9.75,30,White,Other,Manufacturing,Married
98,12,no,male,33,member,15,51,White,Other,Construction,Married
99,12,no,female,19,not_member,8,37,White,Other,Manufacturing,Married
100,13,no,male,14,not_member,11.25,33,White,Other,Other,Married
101,11,no,male,13,member,14,30,White,Other,Other,Married
102,10,no,male,12,not_member,10,28,White,Other,Construction,Married
103,12,no,male,8,not_member,6.5,26,White,Other,Other,Unmarried
104,12,no,male,23,not_member,9.83,41,White,Other,Manufacturing,Married
105,14,no,female,13,not_member,18.5,33,White,Other,Manufacturing,Unmarried
106,12,yes,male,9,not_member,12.5,27,White,Other,Other,Married
107,14,no,male,21,member,26,41,White,Other,Other,Married
108,5,yes,male,44,not_member,14,55,White,Other,Construction,Married
109,12,no,male,4,member,10.5,22,White,Other,Other,Married
110,8,no,male,42,not_member,11,56,White,Other,Manufacturing,Married
111,13,no,male,10,member,12.47,29,White,Other,Other,Married
112,12,no,male,11,not_member,12.5,29,White,Other,Construction,Unmarried
113,12,no,male,40,member,15,58,White,Other,Construction,Married
114,12,no,male,8,not_member,6,26,White,Other,Construction,Unmarried
115,11,yes,male,29,not_member,9.5,46,White,Other,Construction,Married
116,16,no,male,3,member,5,25,White,Other,Other,Unmarried
117,11,no,male,11,not_member,3.75,28,White,Other,Construction,Unmarried
118,12,no,male,12,member,12.57,30,White,Other,Other,Married
119,8,no,female,22,not_member,6.88,36,Hispanic,Other,Other,Married
120,12,no,male,12,not_member,5.5,30,White,Other,Other,Married
121,12,no,male,7,member,7,25,White,Other,Other,Married
122,12,no,female,15,not_member,4.5,33,White,Other,Manufacturing,Unmarried
123,12,no,male,28,not_member,6.5,46,White,Other,Other,Married
124,12,yes,male,20,member,12,38,White,Other,Manufacturing,Married
125,12,yes,male,6,not_member,5,24,White,Other,Construction,Unmarried
126,12,yes,male,5,not_member,6.5,23,White,Other,Manufacturing,Unmarried
127,9,yes,female,30,not_member,6.8,45,White,Other,Manufacturing,Married
128,13,no,male,18,not_member,8.75,37,White,Other,Other,Married
129,12,yes,female,6,not_member,3.75,24,Other,Other,Manufacturing,Married
130,12,yes,male,16,not_member,4.5,34,Hispanic,Other,Other,Unmarried
131,12,yes,male,1,member,6,19,Hispanic,Other,Other,Unmarried
132,12,no,male,3,not_member,5.5,21,White,Other,Manufacturing,Unmarried
133,12,no,male,8,not_member,13,26,White,Other,Other,Married
134,14,no,male,2,not_member,5.65,22,White,Other,Manufacturing,Unmarried
135,9,no,male,16,not_member,4.8,31,Other,Other,Manufacturing,Unmarried
136,10,yes,male,9,not_member,7,25,White,Other,Construction,Married
137,12,no,male,2,not_member,5.25,20,White,Other,Other,Unmarried
138,7,yes,male,43,not_member,3.35,56,White,Other,Manufacturing,Married
139,9,no,male,38,not_member,8.5,53,White,Other,Manufacturing,Married
140,12,no,male,9,not_member,6,27,White,Other,Other,Married
141,12,yes,male,12,not_member,6.75,30,White,Other,Other,Married
142,12,no,male,18,not_member,8.89,36,White,Other,Manufacturing,Married
143,11,no,male,15,member,14.21,32,White,Other,Manufacturing,Unmarried
144,11,yes,male,28,member,10.78,45,Other,Other,Construction,Married
145,10,yes,male,27,member,8.9,43,White,Other,Construction,Married
146,12,yes,male,38,not_member,7.5,56,White,Other,Other,Married
147,12,no,female,3,not_member,4.5,21,White,Other,Manufacturing,Unmarried
148,12,no,male,41,member,11.25,59,White,Other,Other,Married
149,12,yes,male,16,member,13.45,34,White,Other,Other,Married
150,13,yes,male,7,not_member,6,26,White,Other,Manufacturing,Married
151,6,yes,female,33,not_member,4.62,45,Other,Other,Manufacturing,Unmarried
152,14,no,male,25,not_member,10.58,45,White,Other,Manufacturing,Married
153,12,yes,male,5,not_member,5,23,White,Other,Other,Married
154,14,yes,male,17,not_member,8.2,37,Other,Other,Other,Unmarried
155,12,yes,male,1,not_member,6.25,19,White,Other,Other,Unmarried
156,12,no,male,13,not_member,8.5,31,White,Other,Manufacturing,Married
157,16,no,male,18,not_member,24.98,40,White,Management,Other,Married
158,14,yes,male,21,not_member,16.65,41,White,Management,Other,Married
159,14,no,male,2,not_member,6.25,22,White,Management,Other,Unmarried
160,12,yes,female,4,not_member,4.55,22,Hispanic,Management,Other,Unmarried
161,12,yes,female,30,not_member,11.25,48,Hispanic,Management,Other,Married
162,13,no,male,32,not_member,21.25,51,White,Management,Other,Unmarried
163,17,no,female,13,not_member,12.65,36,White,Management,Other,Married
164,12,no,male,17,not_member,7.5,35,White,Management,Other,Unmarried
165,14,no,female,26,not_member,10.25,46,White,Management,Other,Married
166,16,no,male,9,not_member,3.35,31,White,Management,Other,Unmarried
167,16,no,male,8,not_member,13.45,30,Other,Management,Other,Unmarried
168,15,no,male,1,member,4.84,22,White,Management,Other,Married
169,17,yes,male,32,not_member,26.29,55,White,Management,Other,Married
170,12,no,female,24,not_member,6.58,42,White,Management,Other,Married
171,14,no,female,1,not_member,44.5,21,White,Management,Other,Unmarried
172,12,no,male,42,not_member,15,60,White,Management,Manufacturing,Married
173,16,no,female,3,not_member,11.25,25,Other,Management,Manufacturing,Unmarried
174,12,no,female,32,not_member,7,50,White,Management,Other,Married
175,14,no,male,22,not_member,10,42,Other,Management,Other,Unmarried
176,16,no,male,18,not_member,14.53,40,White,Management,Other,Married
177,18,no,female,19,not_member,20,43,White,Management,Other,Married
178,15,no,male,12,not_member,22.5,33,White,Management,Other,Married
179,12,no,female,42,not_member,3.64,60,White,Management,Other,Married
180,12,yes,male,34,not_member,10.62,52,White,Management,Other,Married
181,18,no,male,29,not_member,24.98,53,White,Management,Other,Married
182,16,yes,male,8,not_member,6,30,White,Management,Other,Unmarried
183,18,no,male,13,not_member,19,37,White,Management,Manufacturing,Unmarried
184,16,no,male,10,not_member,13.2,32,White,Management,Other,Unmarried
185,16,no,male,22,not_member,22.5,44,White,Management,Other,Married
186,16,yes,male,10,not_member,15,32,White,Management,Other,Married
187,17,no,female,15,not_member,6.88,38,White,Management,Other,Married
188,12,no,male,26,not_member,11.84,44,White,Management,Other,Married
189,14,no,male,16,not_member,16.14,36,White,Management,Other,Unmarried
190,18,no,female,14,not_member,13.95,38,White,Management,Other,Married
191,12,no,female,38,not_member,13.16,56,White,Management,Other,Married
192,12,yes,male,14,not_member,5.3,32,Other,Management,Other,Married
193,12,no,female,7,not_member,4.5,25,White,Management,Other,Married
194,18,yes,female,13,not_member,10,37,White,Management,Other,Unmarried
195,10,no,male,20,not_member,10,36,White,Management,Other,Married
196,16,no,male,7,member,10,29,Hispanic,Management,Other,Married
197,16,no,female,26,not_member,9.37,48,White,Management,Other,Married
198,16,no,male,14,not_member,5.8,36,White,Management,Other,Married
199,13,no,male,36,not_member,17.86,55,White,Management,Other,Unmarried
200,12,no,male,24,not_member,1,42,White,Management,Other,Married
201,14,yes,male,41,not_member,8.8,61,White,Management,Other,Married
202,16,no,male,7,not_member,9,29,Other,Management,Other,Married
203,17,yes,male,14,not_member,18.16,37,White,Management,Other,Unmarried
204,12,yes,female,1,not_member,7.81,19,White,Management,Other,Unmarried
205,16,no,female,6,not_member,10.62,28,White,Management,Manufacturing,Married
206,12,no,female,3,not_member,4.5,21,White,Management,Other,Married
207,15,no,male,31,not_member,17.25,52,White,Management,Other,Married
208,13,no,female,14,not_member,10.5,33,White,Management,Manufacturing,Married
209,14,no,female,13,not_member,9.22,33,White,Management,Other,Married
210,16,no,male,26,member,15,48,Other,Management,Manufacturing,Married
211,18,no,male,14,not_member,22.5,38,White,Management,Other,Married
212,13,no,female,33,not_member,4.55,52,White,Sales,Other,Married
213,12,no,male,16,not_member,9,34,White,Sales,Other,Married
214,18,no,male,10,not_member,13.33,34,White,Sales,Other,Married
215,14,no,male,22,not_member,15,42,White,Sales,Other,Unmarried
216,14,no,male,2,not_member,7.5,22,White,Sales,Other,Unmarried
217,12,yes,female,29,not_member,4.25,47,White,Sales,Other,Married
218,12,no,male,43,not_member,12.5,61,White,Sales,Manufacturing,Married
219,12,no,female,5,not_member,5.13,23,White,Sales,Other,Married
220,16,yes,female,14,not_member,3.35,36,Other,Sales,Other,Married
221,12,yes,male,28,not_member,11.11,46,White,Sales,Other,Married
222,11,yes,female,25,not_member,3.84,42,Other,Sales,Other,Married
223,12,no,female,45,not_member,6.4,63,White,Sales,Other,Married
224,14,yes,male,5,not_member,5.56,25,White,Sales,Other,Unmarried
225,12,yes,male,20,not_member,10,38,White,Sales,Manufacturing,Married
226,16,no,female,6,not_member,5.65,28,White,Sales,Other,Married
227,16,no,male,16,not_member,11.5,38,White,Sales,Other,Married
228,11,no,female,33,not_member,3.5,50,White,Sales,Other,Married
229,13,yes,female,2,not_member,3.35,21,White,Sales,Other,Married
230,12,yes,female,10,not_member,4.75,28,White,Sales,Other,Unmarried
231,14,yes,male,44,not_member,19.98,64,White,Sales,Other,Married
232,14,yes,female,6,not_member,3.5,26,White,Sales,Other,Married
233,12,no,female,15,not_member,4,33,White,Sales,Other,Unmarried
234,12,no,male,5,not_member,7,23,White,Sales,Other,Married
235,13,no,female,4,not_member,6.25,23,White,Sales,Manufacturing,Married
236,14,no,male,14,not_member,4.5,34,White,Sales,Other,Married
237,14,no,female,32,not_member,14.29,52,White,Sales,Other,Married
238,12,no,female,14,not_member,5,32,White,Sales,Other,Married
239,14,no,male,21,not_member,13.75,41,White,Sales,Other,Married
240,12,no,male,43,member,13.71,61,White,Sales,Other,Married
241,12,yes,female,27,not_member,7.5,45,Other,Sales,Other,Married
242,12,no,female,4,not_member,3.8,22,White,Sales,Other,Unmarried
243,14,no,male,0,not_member,5,20,Hispanic,Sales,Other,Unmarried
244,12,yes,male,32,not_member,9.42,50,White,Sales,Other,Married
245,12,no,male,20,not_member,5.5,38,White,Sales,Other,Married
